"Ad Set Name",Day,"Ad Set ID","Delivery Status","Delivery Level","Relevance Score","Campaign Name","CPM (Cost per 1,000 Impressions)",Reach,Impressions,"CTR (Link Click-Through Rate)","CPC (Cost per Link Click)","Amount Spent (USD)","Result Type","Cost per Result","Landing Page Views","Adds to Cart","Website Adds to Cart","Checkouts Initiated","Website Checkouts Initiated","Adds of Payment Info","Website Adds of Payment Info","Link Clicks","Website Purchases","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)","Reporting Starts","Reporting Ends"
US_ERL_addtocart1%_1125-aha1,2018-11-26,23843059904840116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,23.97865854,619,656,2.2865853658537,1.04866667,15.73,"Website Purchases",15.73,13,1,1,1,1,1,1,15,1,49,3.11506675,2018-11-26,2018-11-26
"EUgood_indie2%_1127 - aha1 - Copy",2018-12-04,23843062694700116,active,adset,,ERL2-shopify-1123-EUbasicopy,8.77104377,1745,1782,4.2087542087542,0.2084,15.63,"Website Purchases",,54,4,4,1,1,,,75,,,,2018-12-04,2018-12-04
"SG_shopping_1019 - aha1110",2018-11-17,23842995495230116,active,adset,,ERL2-shopify-test-1019,6.95067265,2173,2230,1.3452914798206,0.51666667,15.5,"Website Purchases",15.5,27,3,3,3,3,1,1,30,1,49,3.16129032,2018-11-17,2018-11-17
"SG_sportEquip_1129 - ahaold",2018-12-04,23843065498190116,active,adset,,ERL2-shopify-1125-newTest,7.20821662,1956,2142,2.3342670401494,0.3088,15.44,"Website Purchases",15.44,35,6,6,2,2,1,1,50,1,49,3.17357513,2018-12-04,2018-12-04
US_ERLpurchase3%_1125-aha,2018-11-25,23843059358330116,active,adset,,ERL2-shopify-1026-UStest,23.86996904,638,646,4.1795665634675,0.57111111,15.42,"Website Purchases",15.42,21,2,2,1,1,1,1,27,1,49,3.17769131,2018-11-25,2018-11-25
"EUgood_headphone&brands_1130 - aha1",2018-12-01,23843066311820116,inactive,adset,,ERL2-shopify-1130-EUtest,8.00207577,1920,1927,2.0757654385054,0.3855,15.42,"Website Purchases",,31,1,1,1,1,,,40,,,,2018-12-01,2018-12-01
DKFN_headphones_1031-newpic,2018-11-11,23843015535280116,inactive,adset,,ERL2-shopify-test-1019,15.79937304,906,957,2.4033437826541,0.6573913,15.12,"Website Purchases",,22,,,,,,,23,,,,2018-11-11,2018-11-11
"SG_shopping_1111 - aha1110 - Copy",2018-11-17,23843037512270116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,7.57178841,1928,1985,2.3173803526448,0.32673913,15.03,"Website Purchases",,37,5,5,2,2,,,46,,,,2018-11-17,2018-11-17
US_ERLpurchase4%_1125-aha,2018-11-25,23843059358510116,inactive,adset,,ERL2-shopify-1026-UStest,21.91240876,669,685,3.0656934306569,0.7147619,15.01,"Website Purchases",,18,,,,,,,21,,,,2018-11-25,2018-11-25
"EUgood_indie1%_1120 - aha1110",2018-12-04,23843053055970116,active,adset,,ERL2-shopify-test-1019,9.82961992,1467,1526,3.2110091743119,0.30612245,15,"Website Purchases",,40,5,5,3,3,,,49,,,,2018-12-04,2018-12-04
US_ERL_addtocart1%_1120-aha,2018-11-28,23843055847870116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,12.80581694,1157,1169,2.8229255774166,0.45363636,14.97,"Website Purchases",,30,,,,,,,33,,,,2018-11-28,2018-11-28
"SG_shopping_1111 - aha1110 - Copy",2018-11-17,23843037512240116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,7.93140407,1819,1866,1.5005359056806,0.52857143,14.8,"Website Purchases",,26,1,1,1,1,,,28,,,,2018-11-17,2018-11-17
US_ERL_addtocart1%_1120-aha,2018-11-26,23843055847870116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,11.36543015,1254,1267,3.2359905288082,0.35121951,14.4,"Website Purchases",,35,,,,,,,41,,,,2018-11-26,2018-11-26
"US_indie1%_1101 - land2 - Copy 22",2018-11-20,23843018643170116,inactive,adset,,ERL2-shopify-1023-USbasicopy,16.25425653,848,881,5.1078320090806,0.31822222,14.32,"Website Purchases",14.32,39,3,3,2,2,1,1,45,1,49,3.42178771,2018-11-20,2018-11-20
US_ERL_addtocart1%_1125-aha1,2018-11-28,23843059904840116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,21.50455927,645,658,1.8237082066869,1.17916667,14.15,"Website Purchases",,10,1,1,,,,,12,,,,2018-11-28,2018-11-28
US_ERL_addtocart1%_1120-aha,2018-11-24,23843055847870116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,22.30769231,609,624,2.5641025641026,0.87,13.92,"Website Purchases",,12,,,,,,,16,,,,2018-11-24,2018-11-24
"SG_shopping_1111 - aha1110 - Copy",2018-11-11,23843037512270116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,8.33029751,1561,1647,3.0965391621129,0.26901961,13.72,"Website Purchases",,43,4,4,4,4,,,51,,,,2018-11-11,2018-11-11
"SG_shopping_1019 - aha1110",2018-12-04,23842995495230116,active,adset,,ERL2-shopify-test-1019,7.12799168,1771,1922,1.8730489073881,0.38055556,13.7,"Website Purchases",,28,4,4,2,2,,,36,,,,2018-12-04,2018-12-04
"SG_shopping_1111 - aha1110 - Copy",2018-11-11,23843037512240116,inactive,adset,,ERL2-shopify-1111-SGbasiccopy,8.02932551,1626,1705,3.2258064516129,0.24890909,13.69,"Website Purchases",,47,6,6,4,4,,,55,,,,2018-11-11,2018-11-11
"SG_shopping_1113 - ahaold - Copy 4",2018-11-13,23843041171310116,not_delivering,adset,,ERL2-shopify-1111-SGbasiccopy,6.31530282,2101,2163,1.3869625520111,0.45533333,13.66,"Website Purchases",13.66,21,6,6,4,4,1,1,30,1,49,3.58711567,2018-11-13,2018-11-13
"SG_shopping_1113 - ahaold - Copy 3",2018-11-13,23843041171340116,not_delivering,adset,,ERL2-shopify-1111-SGbasiccopy,6.10215054,2190,2232,1.3440860215054,0.454,13.62,"Website Purchases",,24,4,4,2,2,,,30,,,,2018-11-13,2018-11-13
"US_ERLpurchase1%_1112 - feature - Copy 2",2018-11-12,23843038817090116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,25.42372881,521,531,2.8248587570621,0.9,13.5,"Website Purchases",,12,,,,,,,15,,,,2018-11-12,2018-11-12
US_ERLpurchase3%_1120-ahaold,2018-11-21,23843051910740116,inactive,adset,,ERL2-shopify-1119-Lookalike3%-test,11.10378913,1207,1214,3.0477759472817,0.36432432,13.48,"Website Purchases",,33,1,1,1,1,1,1,37,,,,2018-11-21,2018-11-21
"US_ERLpurchase1%_1112 - feature - Copy 3",2018-11-12,23843038817100116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,18.8028169,699,710,2.9577464788732,0.63571429,13.35,"Website Purchases",13.35,20,4,4,3,3,1,1,21,1,49,3.67041199,2018-11-12,2018-11-12
"KR_indiegogo1%_1126 - aha",2018-11-26,23843060333630116,inactive,adset,,ERL2-shopify-test-1019,12.63507109,1006,1055,3.8862559241706,0.32512195,13.33,"Website Purchases",,35,1,1,,,,,41,,,,2018-11-26,2018-11-26
US_ERLpurchase2%_only_1130-aha,2018-11-30,23843066298620116,inactive,adset,,ERL2-shopify-1026-UStest,20.35603715,639,646,3.5603715170279,0.57173913,13.15,"Website Purchases",13.15,19,1,1,1,1,1,1,23,1,49,3.72623574,2018-11-30,2018-11-30
"US_indie1%_1101 - land2 - Copy 22",2018-11-21,23843018643170116,inactive,adset,,ERL2-shopify-1023-USbasicopy,11.70932358,1072,1094,3.290676416819,0.35583333,12.81,"Website Purchases",,31,2,2,1,1,,,36,,,,2018-11-21,2018-11-21
"SG_shopping_1019 - aha1110",2018-11-21,23842995495230116,active,adset,,ERL2-shopify-test-1019,7.83185841,1569,1582,0.82174462705436,0.95307692,12.39,"Website Purchases",,12,2,2,,,,,13,,,,2018-11-21,2018-11-21
