Ad Set Bid Strategy	Ad Set Daily Budget	Ad Set ID	Ad Set Name	Age Max	Age Min	Bid Amount	Countries	Custom Audiences	Gender	Flexible Inclusions	Product 1 - Link	Image	Video File Name
Lowest Cost	20	c:23843065456270116	SG_sport_1129 - ahaold	50	18		SG			"[{""interests"":[{""id"":""6003091202415"",""name"":""Jogging""},{""id"":""6003092532417"",""name"":""CrossFit""},{""id"":""6003269553527"",""name"":""Sports""},{""id"":""6003277229371"",""name"":""Physical fitness""},{""id"":""6003397496347"",""name"":""Running""},{""id"":""6003402532547"",""name"":""Cycling""},{""id"":""6003473077165"",""name"":""Weight training""},{""id"":""6003648059946"",""name"":""Bodybuilding""},{""id"":""6003713973153"",""name"":""Strength training""},{""id"":""6004115167424"",""name"":""Physical exercise""}]}]"	https://geterl.com/products/erl2-feature-and-new
Lowest Cost	30	c:23843063926950116	ID_adopter_engaged_1128	50	18		ID			"[{""behaviors"":[{""id"":""6003808923172"",""name"":""Technology early adopters""}]},{""behaviors"":[{""id"":""6002764392172"",""name"":""Facebook Payments users (90 days)""},{""id"":""6004948896772"",""name"":""Facebook Payments users (higher than average spend)""},{""id"":""6004948896972"",""name"":""Facebook Payments users (30 days)""},{""id"":""6071631541183"",""name"":""Engaged Shoppers""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	20	c:23843065498190116	SG_sportEquip_1129 - ahaold	50	18		SG			"[{""interests"":[{""id"":""6002992069973"",""name"":""Sports equipment""},{""id"":""6003545471303"",""name"":""Sportswear (activewear)""}]}]"	https://geterl.com/products/erl2-feature-and-new
Lowest Cost	10	c:23843070488340116	EUgood_ERLvisitors30d_1203	50	18		IT, NL, ES, SE, GB, FI, DK, HU, DE	23843065414510116:ERL_visitors_30d			https://geterl.com/products/erl2-feature-and-new
Lowest Cost	10	c:23843070488340116	EUgood_ERLvisitors30d_1203	50	18		IT, NL, ES, SE, GB, FI, DK, HU, DE	23843065414510116:ERL_visitors_30d			https://geterl.com/products/erl2-0-features
Lowest Cost	10	c:23843070488340116	EUgood_ERLvisitors30d_1203	50	18		IT, NL, ES, SE, GB, FI, DK, HU, DE	23843065414510116:ERL_visitors_30d			https://geterl.com/products/erl2-feature-and-new
Lowest Cost	30	c:23843063743690116	ID_ERLpurchase1%_engaged_1128 - feature	50	18		ID	23843039142200116:Lookalike (ID 1%) - ERL_purchase_1016		"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]},{""behaviors"":[{""id"":""6002764392172"",""name"":""Facebook Payments users (90 days)""},{""id"":""6004948896772"",""name"":""Facebook Payments users (higher than average spend)""},{""id"":""6004948896972"",""name"":""Facebook Payments users (30 days)""},{""id"":""6071631541183"",""name"":""Engaged Shoppers""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	5	c:23843065437030116	US_ERLvisitors30d_1129-earpic	50	18		US	23843065414510116:ERL_visitors_30d			https://geterl.com/products/erl2-feature-and-new
Lowest Cost	5	c:23843065437030116	US_ERLvisitors30d_1129-earpic	50	18		US	23843065414510116:ERL_visitors_30d			https://geterl.com/products/erl2-feature-and-new
		c:23843071873490116	EUgood_indie1%_only_1204-24-55	55	24		IT, NL, ES, SE, GB, FI, DK, HU, DE	23842995418580116:Lookalike (Europe 1%) - ERLindiegogo1016exact			https://geterl.com/products/erl2-0-features
