"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","CPC (Cost per Link Click) (USD)","Link Clicks","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)"
2018-03-27,2018-03-27,"AU_survey3%_0326-CTA - HeadIndie",23842803262110248,955,13.85340314,0.83769633507853,1.65375,8,8,30,Daily,13.23,,,,
2018-03-27,2018-03-27,US_Allbackers1%_0327-oldpics,23842804220480248,790,22.11392405,1.5189873417722,1.45583333,12,10,50,Daily,17.47,1,17.47,98,5.60961649
2018-03-27,2018-03-27,"US_ERLpurchase1%_0326-CTA  2 - HeadIndie",23842803262150248,906,25.36423841,1.9867549668874,1.27666667,18,19,30,Daily,22.98,,,,
2018-03-27,2018-03-27,US_survey5%_0326-oldpics,23842803235980248,2285,13.35667396,1.7067833698031,0.7825641,39,36,50,Daily,30.52,,,,
2018-03-26,2018-03-26,US_ERLADCT1%_0322-pink,23842797813510248,1806,21.42857143,2.2148394241417,0.9675,40,34,36,Daily,38.7,1,38.7,49,1.26614987
2018-03-26,2018-03-26,"US_Allbackers1%_0326-CTA  2",23842803265680248,330,23.93939394,2.4242424242424,0.9875,8,8,30,Daily,7.9,1,7.9,49,6.20253165
2018-03-26,2018-03-26,"CA_survey5%_0324-CTA  2 - manual",23842801515020248,162,11.85185185,1.8518518518519,0.64,3,2,300,Daily,1.92,,,,
2018-03-26,2018-03-26,US_ERLADCT1%_0326-oldpics,23842803236000248,442,28.34841629,1.131221719457,2.506,5,5,50,Daily,12.53,,,,
2018-03-26,2018-03-26,"CA_survey5%_0322-CTA  2",23842797880560248,3482,11.09994256,1.8380241240666,0.60390625,64,60,46,Daily,38.65,3,12.88333333,147,3.80336352
2018-03-26,2018-03-26,"US_survey1%_0324-CTA  2 - manual",23842801515010248,4721,16.55369625,1.8428299089176,0.89827586,87,84,300,Daily,78.15,2,39.075,98,1.25399872
2018-03-26,2018-03-26,"MY_ERLADCT1%_0322-CTA  2",23842800581180248,8350,3.33413174,0.8502994011976,0.39211268,71,54,30,Daily,27.84,,,,
2018-03-26,2018-03-26,"US_ERLpurchase1%_0326-pink - HeadIndie",23842803262120248,277,27.79783394,2.5270758122744,1.1,7,8,30,Daily,7.7,1,7.7,49,6.36363636
2018-03-26,2018-03-26,"US_survey1%_0322-CTA  2",23842797792800248,2183,17.44846541,1.2826385707742,1.36035714,28,24,46,Daily,38.09,,,,
2018-03-26,2018-03-26,"US_survey5%_0323-CTA  2",23842800546650248,1340,12.82089552,1.9402985074627,0.66076923,26,26,30,Daily,17.18,,,,
2018-03-26,2018-03-26,CA_ERLADCT1%_0326-oldpics,23842803235990248,1165,10.72103004,1.0300429184549,1.04083333,12,12,50,Daily,12.49,,,,
2018-03-26,2018-03-26,"CA_ERLADCT1%_0322-CTA  2",23842797880570248,3054,12.79633268,1.8009168303864,0.71054545,55,44,45,Daily,39.08,1,39.08,49,1.25383828
2018-03-26,2018-03-26,"CA_Allbackers1%_0326-CTA  2",23842803265700248,373,20.50938338,0.80428954423592,2.55,3,3,30,Daily,7.65,,,,
2018-03-26,2018-03-26,"US_survey5%_0326-pink - HeadIndie",23842803262070248,261,27.24137931,2.6819923371648,1.01571429,7,7,30,Daily,7.11,,,,
2018-03-26,2018-03-26,CA_survey5%_0326-oldpics,23842803236010248,1469,8.16882233,0.88495575221239,0.92307692,13,12,50,Daily,12,,,,
