"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","Link Clicks","CPC (Cost per Link Click) (USD)","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchase ROAS (Return on Ad Spend)","Website Purchases Conversion Value"
2018-02-28,2018-02-28,EU_ERLPurchase_0101_006,23842722060190761,2602,6.57571099,0.73020753266718,19,0.90052632,18,30,Daily,17.11,,,,
2018-02-28,2018-02-28,Surveyemail_UK_0226-WW1%,23842722116890761,3422,11.80596143,0.70134424313267,24,1.68333333,23,40,Daily,40.4,2,20.2,2.42574257,98
2018-02-28,2018-02-28,Allbackers_SEA_0226-WW1%,23842722117090761,20473,1.43750305,0.41518097005813,85,0.34623529,53,30,Daily,29.43,1,29.43,1.66496772,49
2018-02-28,2018-02-28,Asia_ADDCARTLAL_1231_003,23842722060100761,3825,6.26928105,0.62745098039216,24,0.99916667,20,30,Daily,23.98,,,,
2018-02-28,2018-02-28,Thailand_SurveyEmail_1230_004,23842722060010761,12390,1.58676352,0.2502017756255,31,0.63419355,21,30,Daily,19.66,,,,
2018-02-28,2018-02-28,AllBackers2%_3Tonline_UK_0223_desktop,23842722117020761,1681,8.54253421,0.35693039857228,6,2.39333333,3,30,Daily,14.36,,,,
2018-02-28,2018-02-28,"Asia_ERLPurchase3%_0120-0208 exJP",23842722059890761,7544,3.09384942,0.29162248144221,22,1.06090909,18,30,Daily,23.34,,,,
2018-02-28,2018-02-28,Russia_ERLLAL_0102,23842722060110761,3796,4.89989463,0.73761854583772,28,0.66428571,27,30,Daily,18.6,,,,
2018-02-28,2018-02-28,CA_Surveyemail_0109_xin,23842722060310761,3255,10.51612903,0.64516129032258,21,1.63,16,60,Daily,34.23,,,,
2018-02-27,2018-02-27,"AsiaExJP_OldADCT_IDKS_0226-dingshi - android",23842721240240761,1821,9.37397035,1.2081274025261,22,0.77590909,20,350,Lifetime,17.07,,,,
2018-02-27,2018-02-27,"Asia_IDKS_0130 - android - Copy",23842715612610761,3109,4.76037311,0.73978771309103,23,0.64347826,16,40,Daily,14.8,,,,
2018-02-27,2018-02-27,"UK_3T_0226_allbackers5% - dingshi",23842721194080761,889,11.02362205,0.44994375703037,4,2.45,3,400,Lifetime,9.8,,,,
2018-02-27,2018-02-27,"otherEU_3T_0226_ dingshi - dingshi",23842721194110761,1207,8.003314,0.74565037282519,9,1.07333333,10,400,Lifetime,9.66,1,9.66,5.07246377,49
2018-02-27,2018-02-27,ES_3T_0226_ERLADCT5%,23842721150320761,2584,5.5495356,0.92879256965944,24,0.5975,22,30,Daily,14.34,,,,
