"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","CPC (Cost per Link Click) (USD)","Link Clicks","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchase ROAS (Return on Ad Spend)","Website Purchases Conversion Value"
2018-04-10,2018-04-10,"MY_survey5%_0322-CTA  2",23842869970930347,5201,2.66871755,1.2497596616035,0.21353846,65,50,30,Daily,13.88,,,,
2018-04-10,2018-04-10,"CA_survey5%_0331- V",23842867496790347,350,14.05714286,1.7142857142857,0.82,6,5,15,Daily,4.92,,,,
2018-04-10,2018-04-10,"Asia_IDKS_0409-iphone 7",23842871009030347,1512,5.99206349,1.2566137566138,0.47684211,19,19,30,Daily,9.06,1,9.06,5.40838852,49
2018-04-10,2018-04-10,"Asia_IDKS_0410-iphone x-color",23842872523610347,1682,9.06064209,1.6646848989298,0.54428571,28,27,40,Daily,15.24,,,,
2018-04-09,2018-04-09,"CA_survey5%_0322-CTA  2",23842869970950347,6525,6.09042146,1.4712643678161,0.41395833,96,90,15,Daily,39.74,2,19.87,2.46602919,98
2018-04-09,2018-04-09,Thai_survey5%_0406,23842868440310347,10269,2.78800273,0.81799591002045,0.34083333,84,60,15,Daily,28.63,2,14.315,3.42298289,98
2018-04-09,2018-04-09,"CA_survey5%_0331- V",23842869970860347,4165,9.26530612,1.0804321728691,0.85755556,45,46,15,Daily,38.59,,,,
2018-04-09,2018-04-09,"US_survey1%_0325-CTA  2 - cap",23842869970920347,4,0,,,,,300,Daily,0,,,,
2018-04-09,2018-04-09,"US_ERLpurchase1%_0403-Headindie-MuMuText - MBINS",23842867496880347,1563,18.51567498,1.2795905310301,1.447,20,15,15,Daily,28.94,,,,
2018-04-09,2018-04-09,"Asia_IDKS_0409-iphone 7",23842871009030347,2371,6.08603965,1.3496415014762,0.4509375,32,26,30,Daily,14.43,,,,
2018-04-09,2018-04-09,"EU_ERLpurchase1%_0331-Headindie-MuMuText - Copy 2",23842869970840347,5130,7.34892788,1.1500974658869,0.63898305,59,48,40,Daily,37.7,1,37.7,1.29973475,49
2018-04-09,2018-04-09,"US_survey1%_0405-0418-CTA  2 - schedule",23842867496750347,3840,11.4375,1.4322916666667,0.79854545,55,51,280,Lifetime,43.92,,,,
2018-04-09,2018-04-09,World_callback_0424,23842869970830347,3162,12.46995572,1.0752688172043,1.15970588,34,32,50,Daily,39.43,1,39.43,1.2427086,49
2018-04-09,2018-04-09,"US_survey1%_0408-12-0422-26-CTA  2 - schedule",23842869970730347,3992,10.85170341,1.4028056112224,0.77357143,56,53,200,Lifetime,43.32,,,,
2018-04-09,2018-04-09,"US_headphone_0321-pink - 0405",23842867496980347,1990,9.72361809,1.356783919598,0.71666667,27,24,15,Daily,19.35,,,,
2018-04-09,2018-04-09,US_survey5%_0323-pink,23842869971020347,4669,6.14264296,1.2422360248447,0.49448276,58,51,30,Daily,28.68,,,,
2018-04-09,2018-04-09,Thai_survey4%_0409,23842871203610347,5492,2.60924982,0.6190823015295,0.42147059,34,24,30,Daily,14.33,,,,
2018-04-09,2018-04-09,"Thai_survey5%_0409-iphone 7",23842871195730347,4080,3.36764706,0.71078431372549,0.4737931,29,20,30,Daily,13.74,,,,
2018-04-09,2018-04-09,"US_survey3%_0326-CTA  2",23842869970760347,3486,8.34193919,1.2048192771084,0.69238095,42,40,30,Daily,29.08,,,,
2018-04-09,2018-04-09,"US_ERLpurchase3%_0328-elechead - V-MuMu",23842869970820347,1512,26.86507937,1.4550264550265,1.84636364,22,19,40,Daily,40.62,1,40.62,1.20630231,49
2018-04-09,2018-04-09,Thai_survey3%_0409,23842871203830347,4769,2.99643531,0.75487523589851,0.39694444,36,27,30,Daily,14.29,,,,
